tweet_id,source,text,retweeted_status_user_id,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,date_time,favorites,retweets,user_followers,jpg_url,img_num,predictions,confidences,gender,tweet_length
892420643555336193,Twitter for iPhone,"['this', 'is', 'phineas', 'he', 's', 'a', 'mystical', 'boy', 'only', 'ever', 'appears', 'in', 'the', 'hole', 'of', 'a', 'donut', '13', '10', 'http', 't', 'co', 'mguwq76dju']",,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,None,None,None,None,2017-08-01 16:23:56,35251,7434,8943067,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,,0.0,male,23
892177421306343426,Twitter for iPhone,"['this', 'is', 'tilly', 'she', 's', 'just', 'checking', 'pup', 'on', 'you', 'hope', 'you', 're', 'doing', 'ok', 'if', 'not', 'she', 's', 'available', 'for', 'pat', 'snug', 'boops', 'the', 'whole', 'bit', '13', '10', 'http', 't', 'co', '0xxu71qeiv']",,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,None,None,None,2017-08-01 00:17:27,30517,5529,8943067,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,female,33
891815181378084864,Twitter for iPhone,"['this', 'is', 'archie', 'he', 'is', 'a', 'rare', 'norwegian', 'pouncing', 'corgo', 'life', 'in', 'the', 'tall', 'grass', 'you', 'never', 'know', 'when', 'one', 'may', 'strike', '12', '10', 'http', 't', 'co', 'wunznhtvjb']",,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,None,None,None,2017-07-31 00:18:03,22944,3648,8943067,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,male,28
891689557279858688,Twitter for iPhone,"['this', 'is', 'darla', 'she', 'commenced', 'a', 'snooze', 'mid', 'meal', '13', '10', 'happens', 'to', 'the', 'best', 'of', 'u', 'http', 't', 'co', 'td36da7qlq']",,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,None,None,None,2017-07-30 15:58:51,38538,7612,8943067,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Labrador_retriever,0.168086,female,21
891327558926688256,Twitter for iPhone,"['this', 'is', 'franklin', 'he', 'would', 'like', 'you', 'to', 'stop', 'calling', 'him', 'cute', 'he', 'is', 'a', 'very', 'fierce', 'shark', 'and', 'should', 'be', 'respected', 'a', 'such', '12', '10', 'barkweek', 'http', 't', 'co', 'atuzn91f7f']",,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,None,None,None,None,2017-07-29 16:00:24,36814,8193,8943067,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,male,31
891087950875897856,Twitter for iPhone,"['here', 'we', 'have', 'a', 'majestic', 'great', 'white', 'breaching', 'off', 'south', 'africa', 's', 'coast', 'absolutely', 'h', 'ckin', 'breathtaking', '13', '10', 'ig', 'tucker', 'marlo', 'barkweek', 'http', 't', 'co', 'kq04fddrmh']",,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,None,None,None,None,2017-07-29 00:08:17,18555,2747,8943067,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,,27
890971913173991426,Twitter for iPhone,"['meet', 'jax', 'he', 'enjoys', 'ice', 'cream', 'so', 'much', 'he', 'get', 'nervous', 'around', 'it', '13', '10', 'help', 'jax', 'enjoy', 'more', 'thing', 'by', 'clicking', 'below', 'http', 't', 'co', 'zr4hwfas1h', 'http', 't', 'co', 'tvjbrmnhxl']",,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,None,None,None,None,2017-07-28 16:27:12,10801,1780,8943067,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,male,31
890729181411237888,Twitter for iPhone,"['when', 'you', 'watch', 'your', 'owner', 'call', 'another', 'dog', 'a', 'good', 'boy', 'but', 'then', 'they', 'turn', 'back', 'to', 'you', 'and', 'say', 'you', 're', 'a', 'great', 'boy', '13', '10', 'http', 't', 'co', 'v0nonbcwxq']",,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,None,None,None,None,2017-07-28 00:22:40,59368,16629,8943067,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,male,31
890609185150312448,Twitter for iPhone,"['this', 'is', 'zoey', 'she', 'doesn', 't', 'want', 'to', 'be', 'one', 'of', 'the', 'scary', 'shark', 'just', 'want', 'to', 'be', 'a', 'snuggly', 'pettable', 'boatpet', '13', '10', 'barkweek', 'http', 't', 'co', '9twluagh0b']",,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,None,None,None,2017-07-27 16:25:51,25539,3797,8943067,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,female,29
890240255349198849,Twitter for iPhone,"['this', 'is', 'cassie', 'she', 'is', 'a', 'college', 'pup', 'studying', 'international', 'doggo', 'communication', 'and', 'stick', 'theory', '14', '10', 'so', 'elegant', 'much', 'sophisticate', 'http', 't', 'co', 't1bfwz5s2a']",,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,None,None,None,2017-07-26 15:59:51,29137,6439,8943067,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,female,25
